trial_number,objective_value,state,w_sp500_usd,w_smi_chf,w_gold_usd,w_us_gov_bonds_usd,w_ch_gov_bonds_chf,alpha,withdraw_mult,survival_rate,penalized
29,-2789.999999999999,TrialState.COMPLETE,0.38992563832047566,0.12650323490275547,0.5493444903184425,0.5259648264175432,0.5223531779639997,0.28471870503964875,1.4402439801600972,0.771,True
30,0.040880173478524524,TrialState.COMPLETE,0.5772525318928539,0.22731375258208153,0.9261083833142605,0.3264163026092506,0.9231314637577732,0.00013105615235639578,1.022004336963113,0.984,False
31,0.052776110952666266,TrialState.COMPLETE,0.8416207673247813,0.4407080313043375,0.7543085932412708,0.2591144976451938,0.8255445405187086,0.35268895129475814,1.3194027738166567,0.96,False
32,0.04596322281350128,TrialState.COMPLETE,0.8165277130341972,0.466890685190664,0.6944295866368335,0.37765562151160925,0.8314697034049969,0.3398567030051923,1.149080570337532,0.989,False
33,0.052786862571329904,TrialState.COMPLETE,0.8611632924007515,0.07440698653845262,0.7430981664095282,0.07219949846520518,0.711561071176384,0.4168018075997876,1.3196715642832475,0.992,False
34,-1909.9999999999995,TrialState.COMPLETE,0.9258379671499672,0.5733004630467302,0.7393214757222504,0.08570447564137107,0.6158885278106132,0.4148420458320185,1.5896012850533878,0.859,True
35,-2579.999999999999,TrialState.COMPLETE,0.6801120441442443,0.07755077033854747,0.7541751047703145,0.06505810158371489,0.8010590870281834,0.4168912120409398,1.7171054260138008,0.792,True
36,0.05844015167180077,TrialState.COMPLETE,0.764986919979663,0.2501548109963514,0.8259597768129322,0.22557949518860354,0.4716854497231982,0.439994750600188,1.4610037917950192,0.953,False
37,0.05848560890272839,TrialState.COMPLETE,0.7607261268690062,0.2541117508953206,0.8245489826075624,0.22161943108498075,0.48462532888301757,0.49914179308300166,1.4621402225682099,0.963,False
38,-1090.0,TrialState.COMPLETE,0.7274296594922638,0.25910094812279094,0.6824515905992828,0.2083199977905396,0.4402399363816463,0.45014449137663765,1.4964638229264413,0.941,True
39,-1899.9999999999995,TrialState.COMPLETE,0.5406694656517834,0.3298770094778741,0.746648183646385,0.6008984236501818,0.3367930404941898,0.49840693554037147,1.5746801839974407,0.86,True
40,0.058322383653591284,TrialState.COMPLETE,0.936966360384277,0.09793713551305566,0.337275208137443,0.062934958671167,0.19872722167220724,0.46235611206714344,1.458059591339782,0.964,False
41,0.05813210423700887,TrialState.COMPLETE,0.9489612536484394,0.09050840155137058,0.1854077187254432,0.060988375671482103,0.13064146696918622,0.45646977277801837,1.4533026059252216,0.955,False
42,0.0586005201228277,TrialState.COMPLETE,0.9387514454510341,0.09122627325252594,0.18140629055471202,0.05351229858872185,0.07162954648317682,0.4595340531170811,1.4650130030706925,0.954,False
43,0.058568084880730786,TrialState.COMPLETE,0.9446767877029408,0.09286232171936301,0.2671587055481212,0.1527856013179264,0.08336069513187197,0.46416169007608044,1.4642021220182697,0.957,False
44,-1179.999999999999,TrialState.COMPLETE,0.9603732287015896,0.014188970514845092,0.31851047586736886,0.15237670076444215,0.041223153645113475,0.49970478130033325,1.6493424757816808,0.932,True
45,-1339.999999999999,TrialState.COMPLETE,0.9982887060251714,0.24848871852340731,0.19669117425103716,0.16783280665470438,0.21613283703964897,0.4678395212485562,1.5115110758014614,0.916,True
46,-1080.0,TrialState.COMPLETE,0.7770993713043359,0.20588100375173646,0.3610862783828181,0.0424030394886582,0.11337246741080084,0.43710259610824725,1.5306819978332402,0.942,True
47,-1149.999999999999,TrialState.COMPLETE,0.23422242655205688,0.11402351522318133,0.12857207008541394,0.21174571971937803,0.0021958122039500982,0.4814983398859631,1.3935615686910847,0.935,True
48,-1919.9999999999995,TrialState.COMPLETE,0.9278333761255534,0.04459228888245492,0.22883535677761976,0.13118724758658729,0.19310747163863115,0.4760374658008658,1.7663656903203504,0.858,True
49,-1629.9999999999995,TrialState.COMPLETE,0.7850271431696189,0.15967327858743197,0.026650369725738476,0.0014500117927533918,0.08372904072107357,0.39167090452554587,1.5606507740065192,0.887,True
